lng, lat
33.61204, -85.793436
33.583674, -85.818114
46.863778, -113.992326
46.884569, -114.034084
46.770674, -114.056071
46.770795, -114.056719
46.770969, -114.057129
46.843469, -114.037896
46.852941, -113.999793
43.261378, -71.586966
43.288441, -71.291939
43.261389, -71.586686
43.262307, -71.587483
43.073436, -71.446818
43.136607, -71.312323
43.047648, -71.497372
43.029521, -71.440488
43.005738, -71.476876
43.013215, -71.447436
43.008377, -71.478477
42.973598, -71.467834
43.010065, -71.426459
43.011372, -71.437773
43.013503, -71.355988
42.970336, -71.459032
43.261013, -71.204566
42.964558, -71.435169
43.525738, -71.470043
43.53269, -71.462474
42.996029, -71.464156
43.046531, -71.495045
43.08717, -71.334697
43.030015, -71.469535
42.987484, -71.439214
42.997604, -71.458819
41.236557, -82.213068
38.127356, -120.453952
38.444758, -120.537483
32.415938, -90.137422
32.447407, -90.087793
32.397891, -90.116976
32.521868, -90.153602
48.034988, -98.011129
33.957374, -86.049907
41.238939, -82.6424
38.857093, -94.699137
38.957536, -94.782211
38.884688, -94.735605
38.918449, -94.664875
38.953623, -94.720349
38.909934, -94.832464
38.931411, -94.887329
38.899844, -94.684288
38.876297, -94.661483
38.818767, -94.504118
38.921243, -94.587791
39.011341, -94.812926
38.89334, -94.577159
38.963398, -94.602774
38.883844, -94.689602
38.910813, -94.646905
38.800257, -94.481701
38.983404, -94.674201
38.952439, -94.596557
38.955593, -94.590622
38.991327, -94.660234
38.957684, -94.587727
41.650982, -70.231268
41.650387, -70.23257
41.705497, -70.162069
41.665188, -70.192699
41.6667, -70.272876
41.706664, -70.161771
41.670083, -70.312136
41.645689, -70.304278
32.357368, -81.27205
40.88082, -88.617735
36.180483, -95.761656
32.333522, -106.750339
26.696157, -80.681778
26.673049, -80.675
36.092517, -95.769347
32.267792, -81.221422
41.158948, -88.172743
36.092115, -95.768024
36.099297, -95.868862
32.2244, -81.197305
36.182045, -95.850431
36.081623, -95.868121
36.096871, -95.981192
36.318791, -95.807903
36.09112, -95.921834
36.092048, -95.922176
36.091133, -95.921894
36.033675, -95.829213
36.034197, -95.84588
36.236391, -95.986901
36.15646, -95.983946
36.045407, -95.907
36.165269, -95.999429
36.329404, -95.620817
36.022541, -95.945592
39.489645, -84.72105
35.724117, -97.401833
35.692838, -97.542798
35.639152, -97.503767
35.633121, -97.481954
43.906389, -69.81825
45.580098, -92.104495
32.375596, -86.155106
42.85976, -106.32414
42.546126, -113.793169
37.006144, -79.872513
35.818445, -80.883522
35.642011, -80.910681
42.859938, -106.324089
37.031892, -80.172377
32.378816, -86.314701
35.564261, -80.88259
35.651535, -81.086367
35.601946, -80.872391
35.594911, -80.838038
32.3282, -86.133681
32.451584, -86.448023
35.568837, -80.799294
36.689107, -79.910016
35.493342, -80.830666
35.568362, -80.798769
35.589936, -80.893449
37.217549, -80.022683
35.525755, -81.013009
37.245904, -79.949614
35.758556, -81.271715
35.666089, -81.230352
35.758704, -81.270569
35.759989, -81.270811
32.336142, -99.633046
30.865219, -84.123416
35.03705, -85.146656
35.037458, -85.196936
35.048205, -85.288702
35.037084, -85.198459
35.221004, -85.109003
35.080927, -85.298061
46.062461, -118.309321
46.070259, -118.323219
46.252095, -118.958004
31.835434, -106.524432
31.841837, -106.434678
31.798531, -106.468974
31.813327, -106.528291
31.841588, -106.435217
31.85759, -106.536389
31.792681, -106.504838
31.797473, -106.422371
31.802746, -106.433451
31.796281, -106.422578
31.824435, -106.573775
31.79639, -106.422661
31.787493, -106.415424
31.886625, -106.408147
31.797251, -106.422103
31.937922, -106.420419
31.797592, -106.422881
31.796621, -106.422083
31.796698, -106.422509
31.80712, -106.460662
31.796415, -106.435461
31.79797, -106.505362
31.874541, -106.33272
31.796057, -106.507741
31.783821, -106.43294
37.137693, -94.461609
37.155479, -94.44412
42.61228, -70.841932
42.557848, -70.877054
42.612103, -70.841861
42.715751, -70.959527
42.717536, -70.958951
42.473789, -70.951174
42.717447, -70.959255
42.716999, -70.959359
42.717354, -70.959338
42.472068, -70.9523
42.471397, -70.962587
42.553595, -70.920454
42.562756, -70.886948
42.555604, -70.965729
42.510123, -71.005263
42.515962, -70.999963
42.516713, -71.005943
42.47846, -70.947099
42.528522, -70.948636
42.466478, -70.994262
42.468249, -70.951833
42.496194, -70.935372
42.813504, -70.876263
42.468495, -70.951571
42.46796, -70.982318
42.469253, -70.943207
42.45891, -70.954871
42.544756, -70.884614
42.472424, -70.921439
42.457921, -70.942714
42.521618, -71.041941
42.540563, -71.032189
42.54848, -71.06024
42.548728, -71.061771
42.521527, -71.04131
42.476387, -70.892208
42.580608, -70.976506
42.470085, -70.934571
37.393388, -82.487406
41.115192, -74.297228
41.243268, -74.481892
41.220844, -74.493331
41.158699, -74.578218
36.351355, -94.2464
44.471096, -103.867087
44.488767, -103.85833
41.159267, -74.579704
36.47231, -94.272991
34.863163, -111.809987
34.77426, -111.765364
34.862596, -111.814499
34.862929, -111.810178
41.183313, -74.514624
36.35078, -94.24605
36.367772, -94.284656
36.337956, -94.223755
36.39207, -94.217924
36.339879, -94.163226
36.353355, -94.18151
36.267102, -94.142214
36.326477, -94.121696
34.133624, -81.178766
34.164121, -81.202279
34.133915, -81.178704
34.164426, -81.201398
34.133098, -81.177846
34.133708, -81.178827
33.985677, -81.222645
34.065156, -81.143364
34.106225, -81.158254
45.060428, -83.432448
35.25924, -80.194252
41.021662, -80.641991
35.258877, -80.192276
35.106766, -80.236334
34.784161, -92.232031
30.027522, -81.633403
34.980543, -92.046106
29.964765, -81.531743
29.629426, -81.839956
29.976674, -81.527886
29.499131, -81.599574
29.498344, -81.598205
42.312897, -83.786648
42.319524, -83.708202
42.286965, -83.786524
42.288606, -83.775896
42.28741, -83.775842
42.273448, -83.58565
42.243293, -83.7262
42.266525, -83.737615
42.309752, -83.718038
42.290112, -83.730456
42.242471, -83.715211
42.367736, -83.453544
42.258842, -83.657474
42.243813, -83.718193
42.398247, -83.442422
35.559468, -97.533797
35.472279, -97.394651
35.472164, -97.394825
35.46867, -97.509817
29.42298, -98.484479
38.873114, -77.211233
38.920815, -77.032647
38.952258, -77.457478
38.930234, -77.346038
38.88547, -77.156333
38.774858, -77.286976
38.773904, -77.287545
38.811194, -77.160133
38.942737, -77.061065
37.688434, -121.730476
37.717681, -121.842467
39.068089, -76.712336
38.886368, -77.111705
38.808131, -77.161427
38.806447, -77.160125
38.806838, -77.159486
40.954663, -73.953605
42.312398, -83.476549
42.271646, -83.743348
42.313744, -83.490752
42.276556, -83.443769
42.315985, -83.70702
35.447295, -93.759598
46.324803, -95.103543
42.997595, -89.543959
43.001194, -89.532158
43.07408, -89.535301
43.033598, -89.420257
42.995269, -89.485618
43.045267, -89.556023
43.000201, -89.399305
43.07497, -89.380032
43.073795, -89.391579
43.092208, -89.335287
43.085015, -89.375143
43.072511, -89.422138
43.042745, -89.556875
43.080753, -89.377334
43.05199, -89.497385
43.073428, -89.388641
43.043732, -89.556322
43.006614, -89.485772
43.118396, -89.638766
43.094338, -89.355642
36.407873, -97.938831
40.090438, -82.853659
33.224149, -97.583474
40.09007, -82.852995
40.116512, -82.933841
40.099412, -82.94478
40.13137, -82.978099
40.184535, -83.035872
40.072568, -82.926257
40.156491, -82.921687
40.138765, -83.0132
40.099774, -82.945923
40.137101, -82.999408
40.100198, -82.883724
40.078086, -82.951781
40.084915, -82.975934
40.052899, -82.981409
40.083696, -82.9363
40.13699, -82.999753
40.072435, -82.821779
40.072688, -82.926292
40.075947, -82.968476
40.11261, -82.921453
40.097035, -82.785796
40.132992, -83.086675
40.065311, -82.935759
39.958878, -82.973063
40.082364, -83.105095
39.957663, -82.972987
40.316104, -83.085785
40.02568, -82.917693
40.108043, -83.013199
40.151137, -83.142567
39.957246, -82.973839
40.057388, -82.879953
39.948152, -82.892936
40.118142, -83.085189
39.957711, -82.971632
39.97853, -83.013293
40.193237, -82.923585
40.235797, -82.863074
39.956729, -82.972761
40.122787, -83.090551
40.08702, -83.092589
40.039626, -83.08573
39.956669, -82.973884
39.958034, -82.971635
39.957702, -82.973154
39.978554, -83.005167
39.956638, -82.972235
39.957794, -82.972081
40.129001, -83.171061
40.058105, -83.168454
39.958144, -82.972963
40.058637, -83.169584
40.055406, -82.930549
40.000159, -83.079018
40.077892, -82.951337
40.004335, -82.861396
40.00014, -82.887556
39.957039, -82.974291
39.956414, -82.972892
39.983234, -83.013694
39.957656, -82.972867
39.957841, -82.973126
40.134907, -83.128639
39.947133, -82.99202
40.082554, -82.899642
40.007135, -82.940175
39.957635, -82.973324
40.170442, -83.10007
39.964265, -82.997824
40.108149, -83.081174
40.155689, -82.989237
40.024346, -83.112468
39.939937, -82.986135
40.163987, -83.151207
40.024407, -83.112458
39.933589, -82.720031
39.965657, -82.807755
39.94283, -82.997622
39.966425, -83.009921
40.166327, -83.074064
39.957981, -82.934389
39.997051, -83.045217
39.980096, -83.07716
40.00535, -82.862306
40.043817, -83.138065
39.993969, -83.092577
39.942982, -82.911317
40.02522, -82.914044
39.953899, -82.992734
40.087254, -83.061608
40.109935, -83.050709
39.941697, -82.9335
40.067141, -83.131995
39.986596, -82.840295
39.924256, -82.890108
40.014307, -82.932017
39.984278, -83.043401
39.998044, -82.883798
32.956038, -96.533826
33.113018, -87.556627
33.187287, -87.526507
34.844451, -82.404064
34.84933, -82.404413
46.270735, -119.292573
46.268819, -119.271562
35.585405, -97.512006
34.821454, -82.314081
46.260708, -119.275942
35.512275, -97.606949
34.802845, -82.361509
35.510904, -97.607343
34.906428, -82.386796
34.72833, -82.258382
34.694205, -82.282911
34.520634, -82.595524
34.710418, -82.320288
34.886255, -82.244828
34.779449, -82.184627
48.039826, -114.228983
48.146929, -114.303317
42.961217, -85.652928
43.032762, -85.581289
43.008574, -85.58044
43.033006, -85.580512
42.877455, -85.604123
42.959147, -85.663201
42.876406, -85.603051
42.876827, -85.603707
42.904671, -85.610974
42.935371, -85.685104
42.874266, -85.6177
42.959315, -85.656216
43.03166, -85.680162
42.871081, -85.575613
42.916825, -85.501793
42.951348, -85.620333
42.846246, -85.378309
42.922569, -85.723581
42.924564, -85.818165
35.603677, -87.036122
42.840558, -85.626331
42.977081, -85.943869
42.976282, -85.943607
42.968342, -85.748314
42.968791, -85.885288
42.054254, -70.185568
37.869141, -93.487835
32.539397, -93.83104
32.455979, -93.87927
32.455237, -93.877819
32.564623, -93.785106
33.608216, -101.914098
30.687449, -96.326942
30.617409, -96.311485
30.669827, -96.360932
30.616943, -96.322741
30.647107, -96.331482
30.565722, -96.293762
30.621291, -96.353379
30.564003, -96.257099
30.569985, -96.243099
30.559328, -96.240083
30.57109, -96.317952
30.719672, -96.337041
30.588588, -96.338814
30.598063, -96.320976
39.149645, -86.532843
39.173382, -86.534903
39.185554, -86.538433
39.136505, -86.523438
38.913748, -90.193044
38.914743, -90.191653
38.896283, -90.154511
38.845619, -90.31675
38.813687, -90.327102
27.02618, -82.023732
39.859905, -84.885629
34.699156, -78.994639
27.023713, -82.059518
40.107325, -88.280309
38.605683, -90.284185
38.549614, -89.947771
38.617501, -90.230853
38.629814, -90.200693
38.633583, -90.197324
38.6116, -90.017914
38.595142, -90.255566
38.640083, -90.331674
38.516476, -90.336363
38.625755, -89.931552
38.515649, -90.338824
38.556007, -90.336833
38.633743, -90.198224
38.581495, -89.918257
38.453451, -90.308604
38.655144, -90.301277
38.628512, -90.283416
38.685592, -90.001439
38.623269, -90.336065
38.587331, -90.324622
38.637692, -90.305375
38.619887, -90.248826
38.614032, -90.270423
38.547031, -89.935997
38.649035, -90.261589
38.61611, -90.252026
33.891585, -80.419677
39.644166, -106.381516
39.635323, -106.525516
39.635494, -106.536266
33.935749, -80.437326
33.970724, -80.406714
33.922728, -80.360026
39.633697, -106.518054
39.643493, -106.539081
39.654071, -106.62713
39.649217, -106.536456
39.648858, -106.537553
39.647697, -106.537952
39.649388, -106.536807
39.649477, -106.536811
39.554479, -106.052059
39.661358, -106.086276
34.621968, -98.503618
47.348042, -68.371243
41.845506, -72.350191
41.821947, -72.515602
41.842593, -72.484095
42.099075, -72.583969
41.843831, -72.48257
41.96601, -72.596079
41.923677, -72.676467
41.85088, -72.537354
41.845944, -72.35068
41.930748, -72.68697
41.88489, -72.676093
42.139046, -72.623362
42.0084, -72.588136
42.138519, -72.624666
42.140711, -72.595714
41.716968, -72.572893
41.775698, -72.633874
41.716399, -72.57139
41.762394, -72.688715
41.869913, -72.744058
41.768933, -72.536114
41.931088, -72.643718
41.76643, -72.666784
34.885566, -82.431431
34.883997, -82.248619
34.862837, -82.278809
34.761147, -82.734218
34.553221, -82.62637
34.879488, -82.397292
34.92851, -82.229877
34.945391, -82.258519
35.495773, -97.605575
35.359003, -97.492443
35.377431, -97.493699
35.450512, -97.279144
35.612965, -97.693395
35.396347, -97.543046
35.573025, -97.567261
35.48555, -97.551091
35.554104, -97.645748
35.572707, -97.724767
35.563127, -97.666509
35.470721, -97.520838
35.393945, -97.59993
35.338192, -97.486134
32.232364, -80.994072
32.270246, -80.912
32.046416, -81.06398
32.036106, -81.072344
37.674185, -113.088508
31.787039, -95.142206
32.03637, -81.072439
32.036055, -81.072459
43.566932, -71.425901
35.346704, -80.723853
32.113813, -81.220459
35.398411, -80.616388
32.114516, -81.219006
35.35293, -80.839577
32.036396, -81.072466
35.409222, -80.687481
32.035662, -81.073415
32.035932, -81.072966
32.022226, -81.215569
35.361497, -80.589525
32.035861, -81.072889
32.047691, -81.103613
35.331191, -80.735297
35.393595, -80.770772
35.29906, -80.624541
35.371243, -80.780078
35.408618, -80.687183
39.899866, -83.051194
35.394169, -80.764043
32.020889, -81.215776
32.242614, -80.839536
32.021144, -81.214958
32.020602, -81.215705
32.020442, -81.215655
32.153631, -81.259076
35.309444, -80.718996
35.321488, -80.687722
32.014764, -80.961326
32.072462, -81.121584
32.070874, -81.121138
32.319752, -80.922911
32.238796, -80.83346
35.353254, -80.839403
35.384493, -80.763317
35.368471, -80.733612
35.44972, -80.748419
35.505107, -80.57332
35.307358, -80.721861
35.204228, -80.780151
35.334557, -80.857671
35.319932, -80.680093
40.065763, -83.020961
39.93941, -83.140632
35.352213, -80.838851
35.211644, -80.688962
35.360763, -80.803364
35.214179, -80.865773
35.234126, -80.85459
35.290549, -80.739652
35.230934, -80.844841
35.205614, -80.790489
35.212369, -80.830554
35.212556, -80.689229
35.193077, -80.744324
35.225282, -80.847766
35.239049, -80.80763
35.218811, -80.794628
35.160897, -80.729437
35.224659, -80.827938
35.221538, -80.817523
35.23572, -80.850391
35.185728, -80.667704
35.234222, -80.853991
35.160255, -80.729549
35.141038, -80.71852
35.352573, -80.851199
35.203332, -80.781423
35.227962, -80.725944
35.226455, -80.848611
35.159816, -80.730265
35.232406, -80.843414
35.250241, -80.798922
35.398689, -80.916577
35.197207, -80.797934
35.201249, -80.717417
35.226941, -80.84898
35.220988, -80.856771
35.263866, -80.797045
35.246463, -80.773253
